,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
421,,,, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg,,,BP. 926 - ANTANANARIVO,,CBL REPRO MADA, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg,,furniture,furniture, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg
422,,,, (+261) 202 25 50 24 (+261) 202 25 50 33,,,BP. 12197 - ANTANANARIVO,,COURTS, (+261) 202 25 50 24 (+261) 202 25 50 33,,furniture,furniture, (+261) 202 25 50 24 (+261) 202 25 50 33
423,,,, (+261) 202 23 42 95 (+261) 202 22 86 95 eriinfo@iris.mg,,,ANTANIMENA - ANTANANARIVO,,ERI, (+261) 202 23 42 95 (+261) 202 22 86 95 eriinfo@iris.mg,,furniture,furniture, (+261) 202 23 42 95 (+261) 202 22 86 95 eriinfo@iris.mg
424,,,, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,,BP. 414 - ANTANANARIVO,,HAZOVATO, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,furniture,furniture, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com
425,,,, (+261) 202 26 22 74 (+261) 202 22 80 76,,,BP. 4000 - ANTANANARIVO,,LIL'IMPORT, (+261) 202 26 22 74 (+261) 202 22 80 76,,furniture,furniture, (+261) 202 26 22 74 (+261) 202 22 80 76
426,,,, (+261) 202 25 56 15 menuiseridart@moov.mg,,,67 HA SUD - ANTANANARIVO,,MENUISERIE D'ART, (+261) 202 25 56 15 menuiseridart@moov.mg,,furniture,furniture, (+261) 202 25 56 15 menuiseridart@moov.mg
427,,,, (+261) 202 23 16 14 (+261) 202 22 69 76,,,"2, RUE RAJOHNSON - ANTANANARIVO",,MOBITEC, (+261) 202 23 16 14 (+261) 202 22 69 76,,furniture,furniture, (+261) 202 23 16 14 (+261) 202 22 69 76
428,,,, (+261) 206 22 22 80 infojet@moov.mg,,,RUE JOFFRE - MAHAJANGA,,MONBURO, (+261) 206 22 22 80 infojet@moov.mg,,furniture,furniture, (+261) 206 22 22 80 infojet@moov.mg
429,,,, (+261) 202 22 87 29 (+261) 202 22 72 19 serv.com@oid.mg,,,BP. 8586 - ANTANANARIVO,,OCEAN INDIEN DIFFUSION, (+261) 202 22 87 29 (+261) 202 22 72 19 serv.com@oid.mg,,furniture,furniture, (+261) 202 22 87 29 (+261) 202 22 72 19 serv.com@oid.mg
430,,,, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg,,,CENTRE COMMERCIAL LA CITY IVANDRY - ANTANANARIVO 101,,SHARP STORE, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg,,furniture,furniture, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg
431,,,, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,,BP. 8585 - ANTANANARIVO,,SODIM, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,furniture,furniture, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg
432,,,, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,,BP. 97 - ANTANANARIVO,,TRADE BOIS, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,furniture,furniture, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd
433,,,, (+261) 202 25 50 24 (+261) 202 25 50 33,,,BP. 12197 - ANTANANARIVO,,COURTS, (+261) 202 25 50 24 (+261) 202 25 50 33,,furniture,furniture, (+261) 202 25 50 24 (+261) 202 25 50 33
434,,,, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,,BP. 414 - ANTANANARIVO,,HAZOVATO, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com,,furniture,furniture, (+261) 202 23 14 83 (+261) 202 26 24 81 showroom@hazovato.com
435,,,, (+261) 204 44 88 38 (+261) 204 44 88 38,,,RUE STAVANGER - ANTSIRABE,,AGENCE, (+261) 204 44 88 38 (+261) 204 44 88 38,,office,office, (+261) 204 44 88 38 (+261) 204 44 88 38
436,,,, (+261) 33 76 000 49 etsandriamihaja@gmail.com,,,A 112 ANTSENAKELY - ANTSIRABE 110,,ANDRIAMIHAJA, (+261) 33 76 000 49 etsandriamihaja@gmail.com,,office,office, (+261) 33 76 000 49 etsandriamihaja@gmail.com
437,,,, (+261) 202 22 95 69 (+261) 202 22 76 97 cf@moov.mg,,,BP. 409 - ANTANANARIVO,,BSM, (+261) 202 22 95 69 (+261) 202 22 76 97 cf@moov.mg,,office,office, (+261) 202 22 95 69 (+261) 202 22 76 97 cf@moov.mg
438,,,, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg,,,CENTRE COMMERCIAL PRISME - ANTANANARIVO,,BUCOMAD, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg,,office,office, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg
439,,,, (+261) 20 22 262 59 (+261) 20 22 316 14 burotec@moov.mg,,,"14, RUE RAJOHNSON - ANTANANARIVO",,BUROTEC, (+261) 20 22 262 59 (+261) 20 22 316 14 burotec@moov.mg,,office,office, (+261) 20 22 262 59 (+261) 20 22 316 14 burotec@moov.mg
440,,,, (+261) 202 22 30 49 (+261) 202 23 01 42 chanda@moov.mg,,,BP. 1054 - ANTANANARIVO,,CHANDARANA & C�, (+261) 202 22 30 49 (+261) 202 23 01 42 chanda@moov.mg,,office,office, (+261) 202 22 30 49 (+261) 202 23 01 42 chanda@moov.mg
441,,,, (+261) 202 22 31 43 (+261) 202 22 76 97 cf@moov.mg,,,"85, RUE DE LIEGE - ANTANANARIVO",,COMPTOIR FIDAHOUSSEN, (+261) 202 22 31 43 (+261) 202 22 76 97 cf@moov.mg,,office,office, (+261) 202 22 31 43 (+261) 202 22 76 97 cf@moov.mg
442,,,, (+261) 34 82 201 04 cide.ccid@gmail.com,,,... - ANTSIRANANA,,CYBER POUR ENTREPRISES, (+261) 34 82 201 04 cide.ccid@gmail.com,,office,office, (+261) 34 82 201 04 cide.ccid@gmail.com
443,,,, (+261) 202 23 27 71 (+261) 202 22 64 95,,,TSARAFARITRA - ANTANANARIVO,,FIOMBONAMBAROTRA, (+261) 202 23 27 71 (+261) 202 22 64 95,,office,office, (+261) 202 23 27 71 (+261) 202 22 64 95
444,,,, (+261) 33 32 896 02 (+261) 33 22 463 53 dramelijaona@gmail.com www.fournitures-et-entreprises.besaba.com,,,LOT IB 90 MADAGASCAR - ANTANANARIVO,,FOURNITURES & ENTREPRISES MADAGASCAR, (+261) 33 32 896 02 (+261) 33 22 463 53 dramelijaona@gmail.com www.fournitures-et-entreprises.besaba.com,,office,office, (+261) 33 32 896 02 (+261) 33 22 463 53 dramelijaona@gmail.com www.fournitures-et-entreprises.besaba.com
445,,,, (+261) 33 72 887 60 gimini.microbureau@yahoo.fr www.gimini.mg,,,LOT IIA 92 DA ANJANAHARY - ANTANANARIVO,,GIMINI, (+261) 33 72 887 60 gimini.microbureau@yahoo.fr www.gimini.mg,,office,office, (+261) 33 72 887 60 gimini.microbureau@yahoo.fr www.gimini.mg
446,,,, (+261) 202 24 80 97 (+261) 202 24 80 97,,,AMBOHIBAO - ANTANANARIVO,,LIAM, (+261) 202 24 80 97 (+261) 202 24 80 97,,office,office, (+261) 202 24 80 97 (+261) 202 24 80 97
447,,,, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com,,,"RTE DES HYDROCARBURES, ANKORONDRANO - ANTANANARIVO",,NRJ.M, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com,,office,office, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com
448,,,, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com,,,"RTE DES HYDROCARBURES, ANKORONDRANO - ANTANANARIVO",,NRJ�ۢM, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com,,office,office, (+261) 20 22 666 50 & 34 07 102 15 information@nrjgroupe.com
449,,,, (+261) 32 05 214 29 ovs.mada@gmail.com,,,AMBOHIMANGAKELY - ANTANANARIVO,,ORIGINAL VISION SOCIETY, (+261) 32 05 214 29 ovs.mada@gmail.com,,office,office, (+261) 32 05 214 29 ovs.mada@gmail.com
450,,,, (+261) 202 26 00 46 (+261) 202 22 65 40 info@prim-office.com www.prim-office.com,,,BP. 7144 - ANTANANARIVO,,PRIM'OFFICE, (+261) 202 26 00 46 (+261) 202 22 65 40 info@prim-office.com www.prim-office.com,,office,office, (+261) 202 26 00 46 (+261) 202 22 65 40 info@prim-office.com www.prim-office.com
451,,,, (+261) 206 22 46 24 (+261) 206 22 44 12 speed.scat@moov.mg,,,"2, RUE LABORDE - MAHAJANGA",,SCAT SPEED, (+261) 206 22 46 24 (+261) 206 22 44 12 speed.scat@moov.mg,,office,office, (+261) 206 22 46 24 (+261) 206 22 44 12 speed.scat@moov.mg
452,,,, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg,,,"129 BIS, RTE CIRCULAIRE - ANTANANARIVO",,SECABI, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg,,office,office, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg
453,,,, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,,BP. 8585 - ANTANANARIVO,,SODIM, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,office,office, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg
454,,,, (+261) 205 33 13 35 (+261) 205 33 13 36 spb@moov.mg,,,"13, RUE GOULETTE - TOAMASINA",,SPB, (+261) 205 33 13 35 (+261) 205 33 13 36 spb@moov.mg,,office,office, (+261) 205 33 13 35 (+261) 205 33 13 36 spb@moov.mg
455,,,, (+261) 202 23 57 14 (+261) 202 23 57 14,,,"43, RTE CIRCULAIRE - ANTANANARIVO",,VONONA, (+261) 202 23 57 14 (+261) 202 23 57 14,,office,office, (+261) 202 23 57 14 (+261) 202 23 57 14
456,,,, (+261) 34 11 464 00 endismad@endismad.mg www.letudiant.mg,,,"ZI AKOOR DIGUE, ANDOHATAPENAKA - ANTANANARIVO",,ENDISMAD/ENTREPRISE DE DISTRIBUTION DE MADAGASCAR, (+261) 34 11 464 00 endismad@endismad.mg www.letudiant.mg,,office,office, (+261) 34 11 464 00 endismad@endismad.mg www.letudiant.mg
457,,,, (+261) 020 23 201 82 (+261) 020 22 364 66 officetrading@moov.mg www.facebook.com/pages/office-trading,,,CAP 3000 ANDRAHARO - ANTANANARIVO,,OFFICE TRADING, (+261) 020 23 201 82 (+261) 020 22 364 66 officetrading@moov.mg www.facebook.com/pages/office-trading,,office,office, (+261) 020 23 201 82 (+261) 020 22 364 66 officetrading@moov.mg www.facebook.com/pages/office-trading
458,,,, (+261) 32 77 584 31 universcnl.mada@gmail.com https://universcnlmada.blogspot.com,,,LOT II A 92 DA ANJANAHARY - ANTANANARIVO,,UNIVERS CNL, (+261) 32 77 584 31 universcnl.mada@gmail.com https://universcnlmada.blogspot.com,,office,office, (+261) 32 77 584 31 universcnl.mada@gmail.com https://universcnlmada.blogspot.com
459,,,, (+261) 202 22 02 58 (+261) 202 22 40 90 drogemad@moov.mg www.takelaka.dts.mg/drogemad,,,BP. 125 - ANTANANARIVO,,DROGEMAD, (+261) 202 22 02 58 (+261) 202 22 40 90 drogemad@moov.mg www.takelaka.dts.mg/drogemad,,hardware,hardware, (+261) 202 22 02 58 (+261) 202 22 40 90 drogemad@moov.mg www.takelaka.dts.mg/drogemad
460,,,, (+261) 20 22 219 30 (+261) 20 22 219 30 richeney.mira@gmail.com,,,AMBOHIMANARINA - ANTANANARIVO,,CDT, (+261) 20 22 219 30 (+261) 20 22 219 30 richeney.mira@gmail.com,,hardware,hardware, (+261) 20 22 219 30 (+261) 20 22 219 30 richeney.mira@gmail.com
461,,,, (+261) 202 35 84 94 (+261) 202 32 52 59 chimie@agrichimad.com www.3dmadagascar.com/cmc,,,BP. 8271 - ANTANANARIVO,,COMPTOIR DE LA CHIMIE, (+261) 202 35 84 94 (+261) 202 32 52 59 chimie@agrichimad.com www.3dmadagascar.com/cmc,,hardware,hardware, (+261) 202 35 84 94 (+261) 202 32 52 59 chimie@agrichimad.com www.3dmadagascar.com/cmc
462,,,, (+261) 32 04 694 70 dmt@dmt.mg http://dmtphoto.net/index.html,,,"45, RUE RATSIMILAHO - ANTANANARIVO",,DMT PHOTO, (+261) 32 04 694 70 dmt@dmt.mg http://dmtphoto.net/index.html,,hardware,hardware, (+261) 32 04 694 70 dmt@dmt.mg http://dmtphoto.net/index.html
463,,,, (+261) 202 23 60 62 (+261) 202 26 29 08 enertech@moov.mg www.energie-tech.com,,,ANTANIMENA - ANTANANARIVO,,ENERGIE TECHNOLOGIE, (+261) 202 23 60 62 (+261) 202 26 29 08 enertech@moov.mg www.energie-tech.com,,hardware,hardware, (+261) 202 23 60 62 (+261) 202 26 29 08 enertech@moov.mg www.energie-tech.com
464,,,, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg,,,"4, RUE RAINANDRIMAMPANDRY - ANTANANARIVO",,FIMED, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg,,hardware,hardware, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg
465,,,, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com,,,RTE DES HYDROCARBURES - ANTANANARIVO,,IEM, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com,,hardware,hardware, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com
466,,,, (+261) 202 23 36 99 (+261) 202 23 36 99,,,BP. 1615 - ANTANANARIVO,,LABORAMA, (+261) 202 23 36 99 (+261) 202 23 36 99,,hardware,hardware, (+261) 202 23 36 99 (+261) 202 23 36 99
467,,,, (+261) 202 23 44 97 (+261) 202 42 62 01 maexi-trading@maexitrading.com,,,BP. 1308 - ANTANANARIVO,,MAEXI TRADING, (+261) 202 23 44 97 (+261) 202 42 62 01 maexi-trading@maexitrading.com,,hardware,hardware, (+261) 202 23 44 97 (+261) 202 42 62 01 maexi-trading@maexitrading.com
468,,,, (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com,,,BP. 1786 - ANTANANARIVO,,MEDICAL INTER., (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com,,hardware,hardware, (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com
469,,,, (+261) 34 97 033 32 mielsante@moov.mg https://www.mielsante.mg,,,LOT VB 22 C AMBATOROKA - ANTANANARIVO,,MIEL SANTE, (+261) 34 97 033 32 mielsante@moov.mg https://www.mielsante.mg,,hardware,hardware, (+261) 34 97 033 32 mielsante@moov.mg https://www.mielsante.mg
470,,,, (+261) 34 39 032 82 (+261) 20 22 497 29 rftmlab@blueline.mg,,,"APPART. 3 C, BATIMENT LTP, ALAROBIA - ANTANANARIVO",,MTLAB, (+261) 34 39 032 82 (+261) 20 22 497 29 rftmlab@blueline.mg,,hardware,hardware, (+261) 34 39 032 82 (+261) 20 22 497 29 rftmlab@blueline.mg
471,,,, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg,,,BP. 8211 - ANTANANARIVO,,SYSTEC, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg,,hardware,hardware, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg
472,,,, (+261) 202 23 69 40 (+261) 202 26 02 27 leong@moov.mg,,,BP. 189 - ANTANANARIVO,,TECHNIKON, (+261) 202 23 69 40 (+261) 202 26 02 27 leong@moov.mg,,hardware,hardware, (+261) 202 23 69 40 (+261) 202 26 02 27 leong@moov.mg
473,,,, (+261) 202 45 21 82 (+261) 202 22 10 04 chemtech@moov.mg,,,"145, RTE CIRCULAIRE - ANTANANARIVO",,CHEM TECH MADAGASCAR, (+261) 202 45 21 82 (+261) 202 22 10 04 chemtech@moov.mg,,material,material, (+261) 202 45 21 82 (+261) 202 22 10 04 chemtech@moov.mg
474,,,, (+261) 202 22 79 82 (+261) 202 22 79 82 herifidy@hotmail.com,,,BESARETY - ANTANANARIVO,,EMT DENTAL, (+261) 202 22 79 82 (+261) 202 22 79 82 herifidy@hotmail.com,,material,material, (+261) 202 22 79 82 (+261) 202 22 79 82 herifidy@hotmail.com
475,,,, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg,,,"4, RUE RAINANDRIMAMPANDRY - ANTANANARIVO",,FIMED, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg,,material,material, (+261) 202 23 75 67 (+261) 202 22 51 29 fimed@simicro.mg
476,,,, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,,BP. 28 - ANTANANARIVO,,HENRI FRAISE FILS & C�, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,material,material, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg
477,,,, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com,,,RTE DES HYDROCARBURES - ANTANANARIVO,,IEM, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com,,material,material, (+261) 20 23 320 42 iem@iem-mg.com www.iem-mg.com
478,,,, (+261) 20 22 344 97 (+261) 20 24 262 01 maexi-trading@maexitrading.com,,,BP. 1308 - ANTANANARIVO,,MAEXI TRADING, (+261) 20 22 344 97 (+261) 20 24 262 01 maexi-trading@maexitrading.com,,material,material, (+261) 20 22 344 97 (+261) 20 24 262 01 maexi-trading@maexitrading.com
479,,,, (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com,,,BP. 1786 - ANTANANARIVO,,MEDICAL INTER., (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com,,material,material, (+261) 202 23 32 62 (+261) 202 23 65 34 medint@iris.mg www.medical-madagascar.com
480,,,, (+261) 202 26 53 17 (+261) 202 23 28 39 medical-store@blueline.mg www.medical-store.com,,,"23, RUE RAINIZANABOLOLONA - 101 ANTANANARIVO",,MEDICAL STORE, (+261) 202 26 53 17 (+261) 202 23 28 39 medical-store@blueline.mg www.medical-store.com,,material,material, (+261) 202 26 53 17 (+261) 202 23 28 39 medical-store@blueline.mg www.medical-store.com
481,,,, (+261) 202 32 99 78 (+261) 202 32 19 30 medi.mad@moov.mg,,,BP. 111 - ANTANANARIVO,,MEDIMAD, (+261) 202 32 99 78 (+261) 202 32 19 30 medi.mad@moov.mg,,material,material, (+261) 202 32 99 78 (+261) 202 32 19 30 medi.mad@moov.mg
482,,,, (+261) 202 26 97 29 (+261) 202 26 97 29 mananki@simicro.mg,,,TSIMBAZAZA - ANTANANARIVO,,MEDIUS, (+261) 202 26 97 29 (+261) 202 26 97 29 mananki@simicro.mg,,material,material, (+261) 202 26 97 29 (+261) 202 26 97 29 mananki@simicro.mg
483,,,, (+261) 202 26 36 22,,,ANTANINANDRO - ANTANANARIVO,,MIHARY, (+261) 202 26 36 22,,material,material, (+261) 202 26 36 22
484,,,, (+261) 202 25 69 35 (+261) 202 22 79 82,,,AVARADOHA - ANTANANARIVO,,PROMODENT, (+261) 202 25 69 35 (+261) 202 22 79 82,,material,material, (+261) 202 25 69 35 (+261) 202 22 79 82
485,,,, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,,BP. 28 - ANTANANARIVO,,SIMED INTER. DENTORIA, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,material,material, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg
486,,,, (+261) 202 24 24 82 (+261) 202 24 24 86 somacou@moov.mg www.somacou.com,,,BP. 4164 - ANTANANARIVO,,SOMACOU, (+261) 202 24 24 82 (+261) 202 24 24 86 somacou@moov.mg www.somacou.com,,material,material, (+261) 202 24 24 82 (+261) 202 24 24 86 somacou@moov.mg www.somacou.com
487,,,, (+261) 202 22 99 78 (+261) 202 22 19 30 sosmada@moov.mg,,,BP. 111 - ANTANANARIVO,,SOS MEDICAL, (+261) 202 22 99 78 (+261) 202 22 19 30 sosmada@moov.mg,,material,material, (+261) 202 22 99 78 (+261) 202 22 19 30 sosmada@moov.mg
488,,,, (+261) 202 43 02 74 (+261) 202 24 54 94 ficar@moov.mg,,,ANTSAKAVIRO - ANTANANARIVO,,STE DENTAIRE MALAGASY, (+261) 202 43 02 74 (+261) 202 24 54 94 ficar@moov.mg,,material,material, (+261) 202 43 02 74 (+261) 202 24 54 94 ficar@moov.mg
489,,,, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg,,,BP. 8211 - ANTANANARIVO,,SYSTEC, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg,,material,material, (+261) 202 24 20 65 (+261) 202 24 34 85 medilab@systec.mg
490,,,, (+261) 20 22 043 72 (+261) 20 22 654 68,,,ANKORONDRANO - ANTANANARIVO,,TNR IMPORT, (+261) 20 22 043 72 (+261) 20 22 654 68,,material,material, (+261) 20 22 043 72 (+261) 20 22 654 68
491,,,, (+261) 03 31 13 97 64 (+261) 202 23 46 76 agrobp@agrobp.com www.agrobp.com,,,RTE ANTSIRABE - ANTANANARIVO,,AGRO B & P CONSEIL, (+261) 03 31 13 97 64 (+261) 202 23 46 76 agrobp@agrobp.com www.agrobp.com,,hardware,hardware, (+261) 03 31 13 97 64 (+261) 202 23 46 76 agrobp@agrobp.com www.agrobp.com
492,,,, (+261) 202 23 15 37 (+261) 202 26 46 10 clovisarth@yahoo.fr,,,"8, RUE RAJONSON - ANTANANARIVO",,CLOVIS ARTHUR, (+261) 202 23 15 37 (+261) 202 26 46 10 clovisarth@yahoo.fr,,hardware,hardware, (+261) 202 23 15 37 (+261) 202 26 46 10 clovisarth@yahoo.fr
493,,,, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,,BP. 28 - ANTANANARIVO,,HENRI FRAISE FILS & C�, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg,,hardware,hardware, (+261) 202 22 27 21 (+261) 202 22 91 23 fraise@moov.mg
494,,,, (+261) 32 71 871 11 lmev.location@gmail.com,,,LOT II I 55 TER ALAROBIA AMBONILOHA - ANTANANARIVO,,LMEV LOCATION, (+261) 32 71 871 11 lmev.location@gmail.com,,hardware,hardware, (+261) 32 71 871 11 lmev.location@gmail.com
495,,,, (+261) 34 02 840 20 & 20 23 533 68 gerant@alphamada.mu www.alphagroup.mu,,,"VILLA MAROMAINTSO, LOT 023 B, AMBOHIBAO ANTEHIROKA - ANTANANARIVO",,ALPHA MADA ENVIRONNEMENT, (+261) 34 02 840 20 & 20 23 533 68 gerant@alphamada.mu www.alphagroup.mu,,material,material, (+261) 34 02 840 20 & 20 23 533 68 gerant@alphamada.mu www.alphagroup.mu
496,,,, (+261) 34 02 508 21 & 32 02 508 21 machfoam@hotmail.fr,,,RTE DE L'AEROPORT - MAJUNGA,,MA FOAM, (+261) 34 02 508 21 & 32 02 508 21 machfoam@hotmail.fr,,material,material, (+261) 34 02 508 21 & 32 02 508 21 machfoam@hotmail.fr
497,,,, (+261) 202 27 95 74 & 202 26 96 29 (+261) 202 26 96 29 acm@bwanadoo.mg,,,BP. 6278 - ANTANANARIVO,,AGRIMAD, (+261) 202 27 95 74 & 202 26 96 29 (+261) 202 26 96 29 acm@bwanadoo.mg,,hardware,hardware, (+261) 202 27 95 74 & 202 26 96 29 (+261) 202 26 96 29 acm@bwanadoo.mg
498,,,, (+261) 202 42 43 71 (+261) 202 24 35 61 fraap@simicro.mg,,,AMBOHITRARAHABA - ANTANANARIVO,,FRAAP, (+261) 202 42 43 71 (+261) 202 24 35 61 fraap@simicro.mg,,hardware,hardware, (+261) 202 42 43 71 (+261) 202 24 35 61 fraap@simicro.mg
499,,,, (+261) 32 04 315 30 sandra.rabe@blueline.mg http://sac-eco-machine.yolasite.com,,,LOT II C 9 FARAVOHITRA - TANANARIVE,,LANZHOU JINHAN NEW PACKAGING C�, (+261) 32 04 315 30 sandra.rabe@blueline.mg http://sac-eco-machine.yolasite.com,,material,material, (+261) 32 04 315 30 sandra.rabe@blueline.mg http://sac-eco-machine.yolasite.com
500,,,, (+261) 202 24 34 72 & 202 24 34 75,,,ANALAMAHITSY - ANTANANARIVO,,ACONCEPT, (+261) 202 24 34 72 & 202 24 34 75,,hardware,hardware, (+261) 202 24 34 72 & 202 24 34 75
501,,,, (+261) 202 32 25 06 (+261) 202 32 09 09 soam@moov.mg,,,BP. 53 - ANTANANARIVO,,AIR LIQUIDE, (+261) 202 32 25 06 (+261) 202 32 09 09 soam@moov.mg,,hardware,hardware, (+261) 202 32 25 06 (+261) 202 32 09 09 soam@moov.mg
502,,,, (+261) 202 24 20 65 (+261) 202 24 34 85 ingenierie@systec.mg,,,BP. 8211 - ANTANANARIVO,,SYSTEC, (+261) 202 24 20 65 (+261) 202 24 34 85 ingenierie@systec.mg,,hardware,hardware, (+261) 202 24 20 65 (+261) 202 24 34 85 ingenierie@systec.mg
503,,,, (+261) 20 53 923 10 eaconsulting@orange.mg,,,LOT 147 CITE VALPINSON - TOAMASINA,,E.A. CONSULTING, (+261) 20 53 923 10 eaconsulting@orange.mg,,office,office, (+261) 20 53 923 10 eaconsulting@orange.mg
504,,,, (+261) 32 11 707 47 eticprod@gmail.com,,,FORT DAUPHIN - MAJUNGA,,ETIC PROD CONSULTING, (+261) 32 11 707 47 eticprod@gmail.com,,office,office, (+261) 32 11 707 47 eticprod@gmail.com
505,,,, (+261) 34 69 326 00 madajuridika@gmail.com https://www.facebook.com/mada.juridika,,,LOT 144 BIS FM AMBOHIBAO MORONDAVA ANTEHIROKA - ANTANANARIVO,,MADA JURIDIKA CONSULTING, (+261) 34 69 326 00 madajuridika@gmail.com https://www.facebook.com/mada.juridika,,office,office, (+261) 34 69 326 00 madajuridika@gmail.com https://www.facebook.com/mada.juridika
506,,,, (+261) 34 08 389 96 maitre.anja@gmail.com,,,"1ER ETAGE, LOT II N 25 ROUTE CIRCULAIRE - ANTANANARIVO",,ME RATSIMANOHATRA ANJA, (+261) 34 08 389 96 maitre.anja@gmail.com,,office,office, (+261) 34 08 389 96 maitre.anja@gmail.com
507,,,, (+261) 20 22 050 32 sigmaco@moov.mg www.sigmaco-mada.com,,,VILLAGE DES JEUX ANKORONDRANO - ANTANANARIVO,,SIGMA CONSULTING, (+261) 20 22 050 32 sigmaco@moov.mg www.sigmaco-mada.com,,office,office, (+261) 20 22 050 32 sigmaco@moov.mg www.sigmaco-mada.com
508,,,, (+261) 34 68 774 45 mada@greenmail.net www.apimadagascar.wordpress.com,,,LOT IVF 22 AMBODIHADY - ANTANANARIVO,,GREEN MADA DEVELOPMENT, (+261) 34 68 774 45 mada@greenmail.net www.apimadagascar.wordpress.com,,office,office, (+261) 34 68 774 45 mada@greenmail.net www.apimadagascar.wordpress.com
509,,,, (+261) 34 10 733 05 eventsdesignerder@gmail.com www.inother.mg,,,HAUTE VILLE - ANTANANARIVO,,INOTHER SARLU, (+261) 34 10 733 05 eventsdesignerder@gmail.com www.inother.mg,,office,office, (+261) 34 10 733 05 eventsdesignerder@gmail.com www.inother.mg
